Country,CAGR,Latest_Capacity,Growth_Multiple
Greece,7.86229242244163,14818.633000000002,5.701667179684494
Spain,7.45484171256483,77809.958,5.226340987733977
Türkiye,7.43645616485531,58763.731,5.205812404213287
Japan,7.43279163719528,121377.167,5.2017299648581465
Thailand,7.332082423013375,11223.525,5.090726629473398
Curaçao,7.285743645555054,60.611,5.0404158004158
Jamaica,7.265777069695734,277.193,5.018884664131812
Réunion,7.197019915728253,710.1610000000001,4.94541086350975
Denmark,7.1456296710768585,12639.097,4.891168372312616
Lebanon,7.115105416808443,1370.3,4.859219858156028
Sudan (the),7.068202068539042,1871.291,4.810516709511568
Guadeloupe,7.0624602757241695,227.305,4.804586768125132
Chile,7.041045300036619,21291.831,4.782531671159029
Dominican Republic (the),6.753369509215057,2201.237,4.495485597001971
New Caledonia,6.6967054434105,354.20799999999997,4.440922768304914
United States of America (the),6.651156715070861,372454.80000000005,4.397522920073439
Honduras,6.636793184870315,1941.196,4.3839213729028295
Saint Kitts and Nevis,6.63464819546038,5.214,2.3050397877984086
Panama,6.6013077623675365,2929.925,4.350490741978113
Italy,6.35418258560132,61463.082,4.124347055863111
Micronesia (Federated States of),6.279597419144123,8.766,4.058333333333333
Guyana,5.989086836571489,64.443,3.8107149192833063
Bangladesh,5.967819209437075,1024.155,3.7931666666666666
Kenya,5.966875983694053,2945.978,3.79239018914462
Guatemala,5.904218563710262,2702.98,3.741148788927336
